"survey"
"","name","type","label","required"
"","Whats_you_age","integer","Whats you age?","true"
"","Are_you_maried","select_one sr1jp66","Are you maried?","true"
"","How_long_you_being_married","integer","How long you being married?","true"
"","How_you_got_married","select_one wm4fn10","How you got married?","true"
"","Do_you_have_healthy_married_li","select_one eb8ld06","Do you have healthy married life?","true"
"","Do_you_have_healthy_Sex_Life","select_one ej0et63","Do you have healthy Sex Life?","true"
"","Have_you_ever_be_abused_or_har","select_one xx4nk80","Have you ever be abused or harased ?","true"
"","What_type_of_harashment_or_abu","select_multiple jn5tp02","What type of harashment or abuse you had in past?","true"
"","Is_you_husband_addicted_to_any","select_multiple sh6in92","Is you husband addicted to anything?","true"
"","If_you_husband_having_affair","select_one bd0xs29","If you husband having affair?","true"
"","start","start","",""
"","end","end","",""
"settings"
"","form_title","form_id"
"","Demo Form","Demo_Form"
"choices"
"","label","name","list name"
"","Yes","AUTOMATIC","sr1jp66"
"","No","no","sr1jp66"
"","Love","love","wm4fn10"
"","Arranged","arranged","wm4fn10"
"","Forecefully","forecefully","wm4fn10"
"","Option 4","option_4","wm4fn10"
"","Yes","yes","eb8ld06"
"","Option 2","option_2","eb8ld06"
"","Yes","yes","ej0et63"
"","No","no","ej0et63"
"","No","no","xx4nk80"
"","Option 2","option_2","xx4nk80"
"","Physical Torture","physical_tortu","jn5tp02"
"","Mental Torture","mental_torture","jn5tp02"
"","Sexualy abused","sexualy_abused","jn5tp02"
"","Option 4","option_4","jn5tp02"
"","Durgs","durgs","sh6in92"
"","Acohol","acohol","sh6in92"
"","Adultary","adultary","sh6in92"
"","Not addicted","not_addicted","sh6in92"
"","Yes","yes","bd0xs29"
"","No","no","bd0xs29"
"","Option 3","option_3","bd0xs29"
